date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
9/21/2003,0.654162,0.636732,136,116,183,26,461,264,72401
9/28/2003,0.749504,0.747829,135,143,221,34,533,268,71273
10/5/2003,0.884021,0.960873,808,607,881,146,2442,830,254144
10/12/2003,1.02773,1.04325,913,696,1132,191,2932,931,281045
10/19/2003,1.28296,1.0545,878,811,1147,195,3031,974,287436
10/26/2003,1.32661,1.11231,1006,884,1369,216,3475,1007,312412
11/2/2003,1.77304,1.41274,1207,1127,2080,276,4690,1074,331980
11/9/2003,2.43814,1.72703,1542,1249,2735,264,5790,1111,335258
11/16/2003,2.72605,2.407,2185,1757,4133,310,8385,1141,348359
11/23/2003,3.73192,3.10962,2561,2425,5684,471,11141,1129,358275
11/30/2003,4.54894,4.30779,3247,2890,4933,672,11742,1118,272576
12/7/2003,5.39906,4.8303,4734,5330,7817,1067,18948,1189,392274
12/14/2003,7.38735,6.42905,6620,5573,11550,1219,24962,1173,388269
12/21/2003,7.48097,6.86734,6434,5906,9851,1508,23699,1148,345097
12/28/2003,7.62797,7.06496,5336,4517,5231,1331,16415,1122,232344
1/4/2004,5.14051,4.55115,3391,3827,2894,1220,11332,1139,248992
1/11/2004,2.89129,2.41833,1930,2605,2299,768,7602,1160,314349
1/18/2004,2.10429,1.80906,1679,1586,1857,461,5583,1141,308614
1/25/2004,1.88696,1.71202,1721,1276,1604,360,4961,1084,289774
2/1/2004,1.7766,1.5425,1487,1067,1543,339,4436,1071,287586
2/8/2004,1.46001,1.43787,1454,1047,1448,302,4251,1054,295646
2/15/2004,1.37787,1.32427,1420,889,1297,218,3824,986,288762
2/22/2004,1.30532,1.30726,1301,876,1255,259,3691,1004,282347
2/29/2004,1.08691,1.03698,956,719,1038,203,2916,948,281202
3/7/2004,0.991888,1.01032,925,682,910,227,2744,894,271597
3/14/2004,1.02765,1.05249,878,764,888,178,2708,897,257294
3/21/2004,1.0579,1.02009,730,756,826,175,2487,849,243802
3/28/2004,0.849361,0.924419,760,628,733,179,2300,859,248805
4/4/2004,0.747127,0.790645,610,495,611,142,1858,828,234998
4/11/2004,0.661708,0.80261,583,440,566,116,1705,774,212432
4/18/2004,0.679514,0.83613,545,500,573,131,1749,755,209178
4/25/2004,0.633071,0.792436,501,461,511,142,1615,679,203802
5/2/2004,0.569894,0.683588,470,349,404,108,1331,658,194708
5/9/2004,0.591357,0.757452,435,383,491,85,1394,629,184038
5/16/2004,0.589044,0.788585,449,361,443,74,1327,599,168276
5/23/2004,0.67864,0.812171,451,337,380,94,1262,553,155386
5/30/2004,0.637558,0.804463,375,280,349,66,1070,463,133008
6/6/2004,0.813309,0.877701,391,289,308,73,1061,452,120884
6/13/2004,0.834551,0.741453,355,257,309,66,987,443,133117
6/20/2004,0.616174,0.661022,307,258,240,46,851,426,128740
6/27/2004,0.513286,0.715109,277,245,284,81,887,423,124037
7/4/2004,0.351881,0.562241,238,215,183,62,698,408,124146
7/11/2004,0.542621,0.786808,233,210,205,62,710,381,90238
7/18/2004,0.581036,0.860658,249,227,280,80,836,378,97135
7/25/2004,0.495486,0.689944,259,162,200,38,659,370,95515
8/1/2004,0.61209,0.779691,260,189,230,40,719,363,92216
8/8/2004,0.531491,0.628144,213,225,235,60,733,345,116693
8/15/2004,0.519987,0.902459,243,247,256,63,809,334,89644
8/22/2004,0.574476,0.806443,256,200,256,58,770,335,95481
8/29/2004,0.663175,0.874888,259,231,265,44,799,333,91326
9/5/2004,0.614691,0.993213,279,252,358,71,960,326,96656
9/12/2004,0.656823,0.876141,281,263,309,60,913,337,104207
9/19/2004,0.723016,0.948092,342,299,413,68,1122,341,118343
9/26/2004,0.691857,0.926943,322,268,416,83,1089,336,117483
10/3/2004,0.782758,0.971643,333,319,382,82,1116,364,114857
10/10/2004,0.982275,0.897159,877,853,1256,185,3171,1176,353449
10/17/2004,1.01821,1.02248,1071,971,1373,216,3631,1187,355116
10/24/2004,1.1768,1.06296,1240,1019,1534,226,4019,1267,378094
10/31/2004,1.30121,1.14696,1190,1223,1671,285,4369,1293,380921
11/7/2004,1.27746,1.20495,1327,1215,1718,291,4551,1302,377692
11/14/2004,1.40387,1.30517,1497,1279,1874,319,4969,1344,380718
11/21/2004,1.40301,1.28699,1531,1279,1874,299,4983,1336,387182
11/28/2004,1.73975,1.59468,1490,1274,1678,271,4713,1341,295546
12/5/2004,1.56894,1.39714,1538,1434,2059,376,5407,1369,387004
12/12/2004,1.65927,1.44996,1551,1450,2052,375,5428,1346,374356
12/19/2004,1.81341,1.61745,1670,1643,2071,371,5755,1379,355806
12/26/2004,2.37626,2.19112,1856,1608,1807,418,5689,1288,259639
1/2/2005,2.77052,2.56649,2252,2413,1993,621,7279,1332,283617
1/9/2005,2.40064,2.17645,2010,2869,2450,712,8041,1383,369455
1/16/2005,2.54155,2.20171,2188,2542,2982,611,8323,1342,378024
1/23/2005,2.85871,2.53012,2199,2839,3682,608,9328,1348,368678
1/30/2005,3.55011,3.06524,2747,3586,5364,725,12422,1334,405254
2/6/2005,4.58591,3.98061,3086,4498,7650,958,16192,1303,406772
2/13/2005,5.05809,4.59568,3626,5757,8854,1132,19369,1324,421461
2/20/2005,5.44151,4.75197,3834,6515,8400,1182,19931,1330,419426
2/27/2005,4.4729,4.17962,3720,5125,6759,1026,16630,1280,397883
3/6/2005,3.6752,3.45359,2997,4058,5343,836,13234,1268,383196
3/13/2005,3.3353,3.15852,2728,3634,4494,745,11601,1227,367292
3/20/2005,2.76224,2.6732,2416,2969,3513,604,9502,1185,355454
3/27/2005,2.46844,2.35161,2145,2434,2771,550,7900,1148,335940
4/3/2005,2.00081,1.89243,1827,1979,2133,390,6329,1103,334438
4/10/2005,1.54319,1.5249,1422,1327,1737,330,4816,1048,315823
4/17/2005,1.50195,1.41134,1356,1169,1603,317,4445,1000,314948
4/24/2005,1.22918,1.25068,1096,954,1469,306,3825,978,305833
5/1/2005,1.21854,1.20702,1117,894,1411,224,3646,971,302065
5/8/2005,1.15832,1.07895,903,762,1136,189,2990,923,277120
5/15/2005,1.249,1.14521,979,710,1115,208,3012,878,263009
5/22/2005,1.16888,1.06124,805,600,926,200,2531,825,238494
5/29/2005,1.07888,1.0568,687,518,695,156,2056,687,194550
6/5/2005,1.23059,1.25193,693,568,678,160,2099,637,167661
6/12/2005,1.14747,1.01419,548,462,594,140,1744,603,171960
6/19/2005,1.00254,1.04197,573,409,507,125,1614,582,154899
6/26/2005,0.957569,0.954027,580,431,507,110,1628,587,170645
7/3/2005,0.894837,0.84823,497,326,452,84,1359,550,160216
7/10/2005,0.798205,0.841872,426,313,390,69,1198,533,142302
7/17/2005,0.757812,0.730894,389,323,361,75,1148,524,157068
7/24/2005,0.825963,0.713432,333,303,364,68,1068,507,149699
7/31/2005,0.744927,0.670677,328,279,327,56,990,492,147612
8/7/2005,0.787049,0.689278,331,267,326,58,982,488,142468
8/14/2005,0.684724,0.704929,319,297,350,57,1023,479,145121
8/21/2005,0.747361,0.615903,330,225,326,47,928,480,150673
8/28/2005,0.673974,0.609426,292,265,311,54,922,428,151290
9/4/2005,0.869662,0.680259,342,273,367,51,1033,420,151854
9/11/2005,0.899529,0.775488,338,264,396,63,1061,416,136817
9/18/2005,0.854635,0.683421,302,289,383,52,1026,408,150127
9/25/2005,1.01123,0.781075,368,285,516,50,1219,419,156067
10/2/2005,0.977808,0.806943,381,276,484,63,1204,447,149205
10/9/2005,1.17778,1.07635,1172,924,1256,234,3586,1113,333164
10/16/2005,1.21947,1.05869,1285,853,1247,197,3582,1160,338343
10/23/2005,1.3069,1.11523,1393,992,1525,212,4122,1216,369609
10/30/2005,1.33931,1.12381,1439,997,1599,213,4248,1237,377999
11/6/2005,1.58374,1.25489,1639,1190,1894,282,5005,1280,398840
11/13/2005,1.47072,1.33661,1563,1251,1929,295,5038,1272,376924
11/20/2005,1.6112,1.37864,1679,1331,1951,315,5276,1277,382697
11/27/2005,1.82699,1.60829,1666,1249,1593,294,4802,1301,298578
12/4/2005,1.77482,1.48311,1858,1583,2176,349,5966,1325,402264
12/11/2005,1.94451,1.65374,1987,1534,2463,387,6371,1328,385248
12/18/2005,2.35512,2.00679,2241,1997,3063,396,7697,1318,383548
12/25/2005,3.10878,2.56857,2696,2293,3058,530,8577,1287,333921
1/1/2006,3.28238,3.05278,2678,2882,2561,721,8842,1273,289638
1/8/2006,2.62914,2.42504,2422,2817,2366,734,8339,1319,343871
1/15/2006,2.2515,2.00195,2272,2155,2921,534,7882,1339,393716
1/22/2006,2.35858,2.05869,2249,1999,3150,460,7858,1297,381699
1/29/2006,2.41881,2.21277,2643,2281,3646,544,9114,1331,411882
2/5/2006,2.52752,2.3222,2612,2288,4153,498,9551,1320,411291
2/12/2006,2.64954,2.49279,2754,2543,4593,537,10427,1311,418286
2/19/2006,3.12935,2.79489,2624,2992,4979,631,11226,1288,401661
2/26/2006,3.12442,2.96911,2753,3073,5284,791,11901,1288,400827
3/5/2006,3.13099,2.83959,2579,2989,5008,767,11343,1275,399459
3/12/2006,3.08261,2.77799,2564,2913,5106,678,11261,1257,405365
3/19/2006,2.64431,2.47287,2330,2231,4154,607,9322,1241,376971
3/26/2006,2.42295,2.18061,1895,1919,3709,541,8064,1217,369804
4/2/2006,2.31141,2.0168,1697,1745,3393,478,7313,1165,362605
4/9/2006,1.86383,1.64101,1437,1299,2660,342,5738,1133,349662
4/16/2006,1.44943,1.35829,1181,1067,2014,285,4547,1087,334760
4/23/2006,1.30227,1.1428,959,873,1479,239,3550,1045,310641
4/30/2006,1.13459,1.04031,836,779,1382,180,3177,1017,305389
5/7/2006,1.06255,0.964347,745,637,1208,190,2780,958,288278
5/14/2006,1.03428,0.937982,745,621,1039,187,2592,919,276338
5/21/2006,1.01791,0.947449,715,582,969,162,2428,877,256267
5/28/2006,0.918151,0.891918,699,452,764,146,2061,783,231075
6/4/2006,0.93099,0.864643,572,404,561,108,1645,649,190252
6/11/2006,0.857294,0.97032,754,564,626,131,2075,635,213847
6/18/2006,0.786294,0.84439,514,388,447,81,1430,615,169353
6/25/2006,0.719426,0.77487,463,328,409,100,1300,610,167770
7/2/2006,0.718868,0.821372,466,323,390,92,1271,572,154741
7/9/2006,0.774807,0.872745,437,305,402,71,1215,565,139216
7/16/2006,0.76598,0.922635,549,449,511,108,1617,577,175259
7/23/2006,0.642809,0.899487,541,460,440,112,1553,564,172654
7/30/2006,0.622033,0.843082,502,422,403,128,1455,564,172581
8/6/2006,0.616326,0.881824,508,402,430,88,1428,551,161937
8/13/2006,0.685694,0.817145,473,383,435,82,1373,547,168024
8/20/2006,0.622697,0.8715,510,390,466,91,1457,536,167183
8/27/2006,0.611817,0.738621,404,279,379,76,1138,503,154071
9/3/2006,0.638831,0.797966,398,292,457,77,1224,488,153390
9/10/2006,0.806627,1.01394,492,396,506,69,1463,491,144289
9/17/2006,0.762448,0.880936,446,361,521,78,1406,487,159603
9/24/2006,0.813406,0.943366,511,362,534,80,1487,455,157627
10/1/2006,0.807934,0.891546,476,364,512,81,1433,469,160732
10/8/2006,1.15384,1.20322,1434,1116,1699,264,4513,1323,375076
10/15/2006,1.14819,1.05788,1278,992,1602,200,4072,1361,384920
10/22/2006,1.22736,1.13054,1543,1099,1830,265,4737,1425,419005
10/29/2006,1.21744,1.12552,1582,1086,1996,224,4888,1445,434287
11/5/2006,1.32813,1.20808,1672,1157,2270,281,5380,1473,445334
11/12/2006,1.47754,1.34952,2112,1320,2393,314,6139,1497,454901
11/19/2006,1.5339,1.4689,2355,1342,2681,290,6668,1474,453945
11/26/2006,1.91269,1.82767,2188,1409,2202,357,6156,1488,336822
12/3/2006,1.838,1.6656,2573,1774,2792,391,7530,1486,452089
12/10/2006,1.95376,1.85968,2643,1804,3244,431,8122,1493,436741
12/17/2006,2.40407,2.38891,3270,2177,4470,479,10396,1492,435177
12/24/2006,2.87453,2.78978,3387,2237,4065,503,10192,1435,365334
12/31/2006,3.02597,3.11549,3243,2216,2868,586,8913,1359,286087
1/7/2007,2.37817,2.26942,2927,2394,2481,584,8386,1490,369521
1/14/2007,2.09232,1.86355,2507,2018,2756,480,7761,1467,416464
1/21/2007,2.29396,1.99986,2548,1701,3248,412,7909,1470,395477
1/28/2007,2.74501,2.4406,3410,2257,4684,537,10888,1495,446119
2/4/2007,3.04434,2.83018,3456,2559,5648,457,12120,1472,428241
2/11/2007,3.49999,3.12343,3840,2910,6995,452,14197,1484,454533
2/18/2007,3.57851,3.27019,3879,2955,6668,529,14031,1461,429057
2/25/2007,3.28979,3.17757,3728,3175,6537,608,14048,1460,442099
3/4/2007,2.89149,2.72364,3016,2778,5429,578,11801,1428,433281
3/11/2007,2.62075,2.50201,2798,2533,4937,447,10715,1408,428255
3/18/2007,2.53387,2.4272,2668,2426,4031,472,9597,1361,395394
3/25/2007,2.07251,1.96041,2049,1857,3307,349,7562,1333,385735
4/1/2007,1.87084,1.5914,1664,1625,2508,351,6148,1303,386327
4/8/2007,1.40042,1.36978,1445,1379,1803,331,4958,1284,361955
4/15/2007,1.46887,1.36317,1429,1274,1821,345,4869,1240,357183
4/22/2007,1.15514,1.1737,1257,1112,1523,287,4179,1206,356055
4/29/2007,1.07901,1.06358,1152,937,1386,220,3695,1152,347413
5/6/2007,0.98492,0.969711,969,755,1143,210,3077,1119,317311
5/13/2007,1.03325,0.965362,917,713,1055,175,2860,1057,296262
5/20/2007,0.926649,0.856749,815,590,861,176,2442,1025,285031
5/27/2007,0.9201,0.863346,761,561,785,136,2243,925,259803
6/3/2007,0.954094,0.93537,722,554,652,130,2058,831,220020
6/10/2007,0.763278,0.745569,628,422,510,119,1679,796,225197
6/17/2007,0.81722,0.740428,598,413,469,134,1614,771,217982
6/24/2007,0.764586,0.672897,521,394,441,100,1456,749,216378
7/1/2007,0.793127,0.666282,514,431,408,102,1455,742,218376
7/8/2007,0.66909,0.662747,394,313,360,102,1169,711,176387
7/15/2007,0.62115,0.545619,366,296,372,52,1086,697,199040
7/22/2007,0.603659,0.586231,446,335,345,85,1211,698,206574
7/29/2007,0.649058,0.660687,477,391,392,96,1356,691,205241
8/5/2007,0.568338,0.534093,321,344,311,61,1037,677,194161
8/12/2007,0.651546,0.585549,389,320,385,78,1172,667,200154
8/19/2007,0.652176,0.618075,439,338,411,95,1283,666,207580
8/26/2007,0.803849,0.687465,495,408,457,88,1448,671,210629
9/2/2007,0.787458,0.715696,502,416,500,108,1526,652,213219
9/9/2007,0.943263,0.829313,519,417,545,73,1554,641,187384
9/16/2007,0.946932,0.800912,496,417,682,99,1694,638,211509
9/23/2007,0.987146,0.918484,609,502,681,121,1913,632,208278
9/30/2007,1.05206,0.814259,729,583,788,128,2228,703,273623
10/7/2007,0.995184,1.07197,2187,1167,1997,290,5641,1373,526227
10/14/2007,1.22003,1.21786,2387,1321,2433,303,6444,1429,529126
10/21/2007,1.28548,1.24576,2583,1455,2551,352,6941,1449,557172
10/28/2007,1.3775,1.35984,2871,1400,2788,375,7434,1477,546680
11/4/2007,1.46725,1.44671,3074,1475,2998,368,7915,1485,547104
11/11/2007,1.55841,1.53286,3398,1609,3303,377,8687,1539,566717
11/18/2007,1.61958,1.66653,3563,1780,3290,471,9104,1516,546284
11/25/2007,1.8112,1.97488,3651,1812,2631,476,8570,1523,433951
12/2/2007,1.61865,1.67305,3679,1921,3158,413,9171,1513,548159
12/9/2007,1.62124,1.63405,3365,1772,2907,392,8436,1487,516263
12/16/2007,1.67351,1.74595,3298,1697,2694,402,8091,1453,463416
12/23/2007,1.95096,1.93643,3580,1987,2724,459,8750,1420,451862
12/30/2007,2.50019,2.48905,3848,2184,2348,522,8902,1426,357646
1/6/2008,2.43939,2.25405,3737,2731,2568,670,9706,1486,430603
1/13/2008,2.29319,2.09147,3393,3262,3644,816,11115,1509,531444
1/20/2008,2.62907,2.35934,3664,3038,4900,595,12197,1511,516966
1/27/2008,3.92966,3.32331,4289,4499,7661,722,17171,1508,516683
2/3/2008,4.99202,4.43381,5222,6595,11974,1021,24812,1514,559609
2/10/2008,5.7776,5.34547,6059,9212,15323,1302,31896,1526,596692
2/17/2008,5.98318,5.42258,6244,9487,14336,1558,31625,1518,583210
2/24/2008,5.61677,5.30303,5922,9812,12783,1728,30245,1497,570334
3/2/2008,4.53234,4.24456,4978,8583,9958,1508,25027,1453,589626
3/9/2008,3.83249,3.628,4420,6781,7849,1204,20254,1445,558269
3/16/2008,3.21522,3.03463,3878,5676,6112,1048,16714,1412,550776
3/23/2008,2.69245,2.53595,3153,4520,4493,874,13040,1395,514205
3/30/2008,2.03366,2.0573,2689,3496,3395,796,10376,1379,504350
4/6/2008,1.65275,1.7415,2372,2872,2697,642,8583,1327,492850
4/13/2008,1.3113,1.40652,2045,2160,2354,486,7045,1318,500881
4/20/2008,1.1652,1.26861,1857,1802,2013,407,6079,1288,479187
4/27/2008,1.02035,1.07719,1572,1345,1713,323,4953,1208,459808
5/4/2008,0.877607,0.993445,1466,1107,1416,235,4224,1147,425187
5/11/2008,0.825107,0.911212,1356,1066,1381,208,4011,1098,440183
5/18/2008,0.787315,0.972109,1439,980,1274,211,3904,1074,401601
5/25/2008,0.805439,0.993258,1393,926,1116,211,3646,945,367075
6/1/2008,0.886061,1.09132,1473,1004,1083,243,3803,869,348477
6/8/2008,0.743743,0.888446,1159,729,906,139,2933,789,330127
6/15/2008,0.706842,0.887691,1113,720,886,187,2906,764,327366
6/22/2008,0.655943,0.883187,1115,712,855,160,2842,755,321789
6/29/2008,0.633492,0.826756,937,654,810,133,2534,730,306499
7/6/2008,0.571837,0.783201,913,575,762,155,2405,713,307073
7/13/2008,0.558278,0.78061,881,669,749,132,2431,710,311423
7/20/2008,0.597893,0.769073,826,619,703,171,2319,696,301532
7/27/2008,0.577222,0.721298,779,552,704,131,2166,694,300292
8/3/2008,0.596987,0.752527,788,599,763,139,2289,676,304175
8/10/2008,0.564653,0.752721,679,619,706,216,2220,668,294930
8/17/2008,0.585682,0.792766,789,650,745,184,2368,657,298701
8/24/2008,0.503985,0.743896,730,619,754,134,2237,657,300714
8/31/2008,0.468139,0.814166,794,616,892,127,2429,636,298342
9/7/2008,0.576455,0.838401,774,663,880,144,2461,666,293535
9/14/2008,0.681361,0.851124,859,758,994,177,2788,685,327567
9/21/2008,0.794764,1.10976,1062,958,1527,188,3735,679,336560
9/28/2008,0.868116,1.03114,983,932,1306,179,3400,716,329731
10/5/2008,1.06828,1.02284,1535,1476,2352,324,5687,1435,555999
10/12/2008,1.00756,1.03017,1861,1485,2291,322,5959,1500,578446
10/19/2008,0.979399,1.01245,1869,1467,2219,341,5896,1525,582351
10/26/2008,1.04943,1.08359,1976,1668,2474,367,6485,1527,598473
11/2/2008,1.13218,1.16578,2119,1869,2547,452,6987,1545,599343
11/9/2008,1.13156,1.1913,2276,1981,2668,372,7297,1555,612526
11/16/2008,1.15469,1.28075,2512,1889,2854,412,7667,1555,598635
11/23/2008,1.20448,1.27053,2600,1893,2828,412,7733,1563,608646
11/30/2008,1.36081,1.59578,3024,1741,2412,457,7634,1523,478386
12/7/2008,1.30322,1.4585,3114,2212,2913,469,8708,1551,597052
12/14/2008,1.30204,1.49921,3252,1974,3024,439,8689,1543,579573
12/21/2008,1.45109,1.62982,3137,1640,2579,456,7812,1416,479318
12/28/2008,1.79927,2.15561,3897,1947,2367,495,8706,1484,403876
1/4/2009,2.12134,2.02053,3814,2163,2042,584,8603,1490,425780
1/11/2009,1.47138,1.54566,3245,2606,2548,557,8956,1539,579428
1/18/2009,1.61555,1.64224,3142,2329,3345,473,9289,1512,565631
1/25/2009,1.95333,1.96524,3602,2821,4597,436,11456,1566,582932
2/1/2009,2.42907,2.34368,4039,3215,6602,468,14324,1554,611176
2/8/2009,2.96686,2.86057,4606,4240,8882,540,18268,1580,638613
2/15/2009,3.57354,3.3421,5064,4636,11215,752,21667,1569,648304
2/22/2009,3.36653,3.20566,4848,4685,9851,638,20022,1543,624583
3/1/2009,3.2962,3.10049,4694,5007,10092,657,20450,1544,659573
3/8/2009,3.17227,2.95819,4420,4272,9116,633,18441,1534,623389
3/15/2009,2.5804,2.46381,4046,3601,7446,618,15711,1524,637672
3/22/2009,2.42922,2.19272,3657,3002,6036,582,13277,1494,605503
3/29/2009,1.99028,1.87395,3237,2661,5052,450,11400,1470,608342
4/5/2009,1.72423,1.64817,2829,2158,4283,399,9669,1440,586651
4/12/2009,1.60355,1.49878,2577,2085,3407,391,8460,1422,564460
4/19/2009,1.28418,1.29233,2371,1727,2761,363,7222,1415,558837
4/26/2009,1.2932,1.27164,2353,1743,2855,397,7348,1445,577836
5/3/2009,2.74012,2.98159,4821,5093,8043,670,18627,1405,624734
5/10/2009,2.22391,2.43702,3920,3875,6221,562,14578,1422,598189
5/17/2009,1.76657,2.2813,3236,3018,5888,412,12554,1372,550300
5/24/2009,1.92171,3.81572,4188,4136,12026,424,20774,1331,544432
5/31/2009,1.8611,4.21315,4496,4950,12461,487,22394,1314,531526
6/7/2009,1.68423,3.17832,3865,4213,8615,412,17105,1305,538177
6/14/2009,1.7393,2.50972,3072,3276,5660,384,12392,1296,493761
6/21/2009,1.83001,2.06632,2623,3084,4740,333,10780,1280,521701
6/28/2009,1.58128,1.71805,2299,2476,3700,326,8801,1279,512268
7/5/2009,1.49172,1.55965,2145,2023,2893,361,7422,1237,475877
7/12/2009,1.389,1.30856,1701,1815,2481,293,6290,1246,480680
7/19/2009,1.34702,1.18695,1581,1708,2437,238,5964,1248,502466
7/26/2009,1.16056,1.13796,1608,1611,2285,231,5735,1248,503971
8/2/2009,1.2085,1.15005,1519,1575,2199,294,5587,1254,485804
8/9/2009,1.15544,1.11262,1651,1530,2082,263,5526,1230,496666
8/16/2009,1.14518,1.16142,1645,1646,2321,265,5877,1234,506019
8/23/2009,1.4664,1.64107,2167,2168,4210,396,8941,1286,544827
8/30/2009,2.38017,2.47166,2883,2977,8253,443,14556,1320,588916
9/6/2009,3.44681,3.71969,3713,3982,13114,541,21350,1358,573972
9/13/2009,4.05315,3.94975,4087,4547,13407,520,22561,1367,571201
9/20/2009,4.26621,4.08756,4445,5668,15326,652,26091,1380,638302
9/27/2009,4.21579,4.01897,4462,5252,14152,588,24454,1313,608464
10/4/2009,4.8861,4.60362,4974,6090,16291,564,27919,1331,606458
10/11/2009,6.06923,5.66087,9302,8554,27406,3158,48420,2056,855346
10/18/2009,7.09467,6.81522,11527,10271,32585,3813,58196,2134,853912
10/25/2009,7.7151,7.61889,13187,12399,39364,4118,69068,2162,906536
11/1/2009,7.55134,7.38836,13174,12166,36860,4211,66411,2167,898860
11/8/2009,6.67118,6.33927,12161,10250,30860,3746,57017,2197,899425
11/15/2009,5.20633,4.94349,10151,8174,21112,3292,42729,2191,864348
11/22/2009,4.04477,3.80996,8979,6163,14652,2726,32520,2157,853552
11/29/2009,3.49722,3.44106,7716,4378,8237,2177,22508,2146,654101
12/6/2009,2.69023,2.66773,7195,4259,7988,2288,21730,2122,814550
12/13/2009,2.47119,2.47183,6490,3588,7218,2029,19325,2093,781811
12/20/2009,2.44773,2.345,6275,3249,5785,1772,17081,2014,728401
12/27/2009,2.64594,2.71435,6078,2677,4127,1693,14575,1934,536961
1/3/2010,2.61567,2.67667,6598,3202,3726,2087,15613,1937,583299
1/10/2010,1.90712,1.98284,4998,3333,3961,2007,14299,1996,721138
1/17/2010,1.86738,1.82749,4877,2793,4614,1804,14088,2016,770895
1/24/2010,1.88072,1.92606,5399,2693,5079,1586,14757,2053,766177
1/31/2010,1.96908,1.92495,5333,2560,5655,1574,15122,2026,785580
2/7/2010,2.11387,2.08877,5816,2581,6142,1498,16037,1996,767773
2/14/2010,2.09695,2.03434,5496,2644,5577,1664,15381,1977,756068
2/21/2010,1.90294,1.97649,5388,2649,5536,1492,15065,1954,762208
2/28/2010,1.96951,1.99362,5040,2943,6207,1897,16087,1990,806925
3/7/2010,1.92331,1.85383,4281,2763,5685,1757,14486,1953,781411
3/14/2010,1.89659,1.8673,4612,2660,5270,1812,14354,1946,768702
3/21/2010,1.75181,1.69987,4063,2468,4466,1604,12601,1933,741293
3/28/2010,1.52632,1.49741,3625,2097,4108,1361,11191,1917,747358
